แผนหลักสูตรที่เปิดอบรมประจำเดือน จำนวน,9,หลักสูตร
เปิดอบรมตามแผน,1,หลักสูตร
รอส่งผลอบรม,9,หลักสูตร
จำนวนสมาชิกที่เข้าอบรมแต่ละหลักสูตรประจำเดือนปัจจุบัน,604,คน
จำนวนสมาชิกที่ได้รับการฝึกอบรมประจำเดือนปัจจุบัน,0,คน
จำนวนสมาชิกที่ยังไม่บรรลุเป้าหมายการฝึกอบรม,0,คน
จำนวนหลักสูตรที่ส่งผลแล้ว คิดเป็น,11.11%,
